,V1_in,V2_in,V3_in,t,V1,V2,V3,I1,I2,I3,ax,ay,az,gx,gy,gz,color
54,100,-100,100,8000,39.63829787,-35.35051546,46.20618557,0.471488622,0.657482,0.451460498,0.087655172,-0.228482759,10.56875862,0.005241379,-0.011448276,0.025241379,lightgreen
55,100,-200,100,8000,51.21649485,-142.7938144,48.98969072,0.402602159,0.686439711,0.389335129,0.086068966,-0.244275862,10.57386207,0.005310345,-0.011034483,-0.038482759,lightgreen
56,100,-300,100,8000,51.57303371,-241.6082474,46.60714286,0.356837324,0.683633393,0.385424869,0.129172414,-0.263103448,10.56255172,0.006275862,-0.010482759,-0.103172414,lightgreen
57,200,-100,100,8000,137.2268041,-40.63917526,68.75257732,0.80367402,0.571629179,0.117197527,0.092689655,-0.182068966,10.57075862,0.004206897,-0.012758621,0.083241379,lightgreen
58,200,-200,100,8000,141.1237113,-144.742268,68.75257732,0.692052801,0.676744706,0.152315212,0.077931034,-0.206758621,10.55606897,0.004827586,-0.010827586,0.024482759,lightgreen
59,200,-300,100,8000,140.5670103,-238.1684211,63.1011236,0.604273694,0.660949595,0.201813866,0.141724138,-0.215448276,10.55882759,0.003655172,-0.012758621,-0.039103448,lightgreen
60,300,-100,100,8000,244.9484536,-41.19587629,76.54639175,0.808266522,0.51741293,0.109871044,0.130758621,-0.262344828,10.56813793,0.00137931,-0.01262069,0.151310345,lightgreen
61,300,-200,100,8000,244.9484536,-145.2989691,73.48453608,0.779053572,0.624059323,0.114653822,0.048068966,-0.239655172,10.57531034,0.002896552,-0.010068966,0.076827586,lightgreen
62,300,-300,100,8000,252.4639175,-252.742268,66.80412371,0.690011662,0.669473358,0.121863701,0.096896552,-0.253655172,10.57372414,0.004896552,-0.010137931,0.020896552,lightgreen
63,100,-100,200,8000,69.86597938,-39.24742268,129.7113402,0.108461459,0.578920402,0.819492313,0.133586207,-0.246344828,10.57393103,0.004206897,-0.011724138,0.082965517,lightgreen
